Popular Quotes,Author Names,Likes,Links,Images
    Be yourself; everyone else is already taken.,    Oscar Wilde  ,164858,/author/show/3565.Oscar_Wilde,https://images.gr-assets.com/authors/1521044377p2/3565.jpg
"    I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.",    Marilyn Monroe  ,159673,https://images.gr-assets.com/quotes/1511992603p8/8630.jpg,https://images.gr-assets.com/quotes/1511992603p2/8630.jpg
    Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.,    Albert Einstein  ,142264,/author/show/9810.Albert_Einstein,https://images.gr-assets.com/authors/1429114964p2/9810.jpg
"    So many books, so little time.",    Frank Zappa  ,140840,/author/show/22302.Frank_Zappa,https://images.gr-assets.com/authors/1315160559p2/22302.jpg
    A room without books is like a body without a soul.,    Marcus Tullius Cicero  ,129513,/author/show/13755.Marcus_Tullius_Cicero,https://images.gr-assets.com/authors/1197881416p2/13755.jpg
"    Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.",    Bernard M. Baruch  ,126227,/author/show/5768330.Bernard_M_Baruch,https://images.gr-assets.com/authors/1331977133p2/5768330.jpg
"    You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.",    William W. Purkey  ,124445,/author/show/1744830.William_W_Purkey,https://images.gr-assets.com/authors/1282396130p2/1744830.jpg
    You know you're in love when you can't fall asleep because reality is finally better than your dreams.,    Dr. Seuss  ,121733,/author/show/61105.Dr_Seuss,https://images.gr-assets.com/authors/1193930952p2/61105.jpg
"    You only live once, but if you do it right, once is enough.",    Mae West  ,114291,/author/show/259666.Mae_West,https://images.gr-assets.com/authors/1198551937p2/259666.jpg
    Be the change that you wish to see in the world.,    Mahatma Gandhi  ,111374,/author/show/5810891.Mahatma_Gandhi,https://images.gr-assets.com/authors/1356810912p2/5810891.jpg
    In three words I can sum up everything I've learned about life: it goes on.,    Robert Frost  ,105718,/author/show/7715.Robert_Frost,https://images.gr-assets.com/authors/1605640483p2/7715.jpg
"    If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.","    J.K. Rowling,  ",99660,/author/show/1077326.J_K_Rowling,https://images.gr-assets.com/authors/1596216614p2/1077326.jpg
    Do?ôt walk in front of m?¶ I may not followDo?ôt walk behind m?¶ I may not leadWalk beside m?¶ just be my frien?ù    ,    Albert Camus  ,89995,/author/show/957894.Albert_Camus,https://images.gr-assets.com/authors/1606568448p2/957894.jpg
"    If you tell the truth, you don't have to remember anything.",    Mark Twain  ,88632,/author/show/1244.Mark_Twain,https://images.gr-assets.com/authors/1322103868p2/1244.jpg
"    Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .","    C.S. Lewis,  ",86430,https://images.gr-assets.com/quotes/1387503187p8/10554.jpg,https://images.gr-assets.com/quotes/1387503187p2/10554.jpg
"    I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.",    Maya Angelou  ,84724,/author/show/3503.Maya_Angelou,https://images.gr-assets.com/authors/1379017377p2/3503.jpg
    A friend is someone who knows all about you and still loves you.,    Elbert Hubbard  ,81840,/author/show/114059.Elbert_Hubbard,https://images.gr-assets.com/authors/1216826209p2/114059.jpg
"    To live is the rarest thing in the world. Most people exist, that is all.",    Oscar Wilde  ,79982,/author/show/3565.Oscar_Wilde,https://images.gr-assets.com/authors/1521044377p2/3565.jpg
    Always forgive your enemies; nothing annoys them so much.,    Oscar Wilde  ,79185,/author/show/3565.Oscar_Wilde,https://images.gr-assets.com/authors/1521044377p2/3565.jpg
    Live as if you were to die tomorrow. Learn as if you were to live forever.,    Mahatma Gandhi  ,75988,/author/show/5810891.Mahatma_Gandhi,https://images.gr-assets.com/authors/1356810912p2/5810891.jpg
    Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"    Martin Luther King Jr.,  ",75924,/author/show/23924.Martin_Luther_King_Jr_,https://images.gr-assets.com/authors/1198518558p2/23924.jpg
